0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2023-02-24,25691939.0,-1300527.0,-24391412.0,18258913.0,7433026.0,12.81,-0.65,-12.17,9.11,3.71,8.73,-0.46,0.00,0.00
2023-02-27,4828534.0,2048829.0,-6877362.0,5659003.0,-830469.0,2.13,0.90,-3.03,2.49,-0.37,8.70,-0.34,0.00,0.00
2023-02-28,-18290799.0,11632202.0,6658597.0,2162814.0,-20453613.0,-11.76,7.48,4.28,1.39,-13.15,8.71,0.11,0.00,0.00
2023-03-01,53399081.0,-24008593.0,-29390486.0,26206674.0,27192407.0,11.31,-5.09,-6.23,5.55,5.76,8.71,0.00,0.00,0.00
2023-03-02,-391160.0,5812153.0,-5420992.0,-5727311.0,5336151.0,-0.22,3.28,-3.06,-3.23,3.01,8.70,-0.11,0.00,0.00
2023-03-03,561927.0,-9986838.0,9424911.0,12973422.0,-12411495.0,0.26,-4.70,4.44,6.11,-5.85,8.76,0.69,0.00,0.00
2023-03-06,67533890.0,-64898540.0,-2635350.0,9264676.0,58269214.0,12.37,-11.89,-0.48,1.70,10.67,9.02,2.97,0.00,0.00
2023-03-07,22053408.0,-34855317.0,12801904.0,-12621744.0,34675152.0,2.09,-3.30,1.21,-1.20,3.29,9.38,3.99,0.00,0.00
2023-03-08,32610512.0,2140513.0,-34751025.0,33018902.0,-408390.0,4.94,0.32,-5.26,5.00,-0.06,9.14,-2.56,0.00,0.00
2023-03-09,16783530.0,8446635.0,-25230166.0,23697435.0,-6913905.0,4.61,2.32,-6.93,6.50,-1.90,9.04,-1.09,0.00,0.00
2023-03-10,105527719.0,-56210158.0,-49317563.0,48502668.0,57025051.0,15.82,-8.43,-7.39,7.27,8.55,9.30,2.88,0.00,0.00
